item_code,description,cat,brand,unit
pwr1052,Καλώδιο ρεύματος 3x2.5mm 10m 3000W IP67 εξωτερικού χώρου,POWER,Delta Line,ΤΕΜ
PWR-1053,Καλώδιο ρεύματος 3x2.5mm 25 μ. 1500W IP67 εξωτερικού χώρου,POWER,Nordion,ΤΕΜ
PWR-1054,Καλώδιο ρεύματος 3x2.5mm 50 μ. 2200W IP67 εξωτερικού χώρου,POWER,Kyma,ΤΕΜ
PWR-1055,Καλώδιο ρεύματος 5x2.5mm 20 μ. 1kW IP54 εξωτερικού χώρου,POWER,Kyma,ΤΕΜ
PWR-1056,Καλώδιο ρεύματος 3x6.0mm 1500cm 1000W IP44 εξωτερικού χώρου,POWER,Kyma,ΤΕΜ
PWR-1057,Καλώδιο ρεύματος 5x2.5mm 25m 750W IP67 εξωτερικού χώρου,POWER,Delta Line,ΤΕΜ
DAT-1000,Καλώδιο δικτύου CAT6 FTP 5m,DATA,Kyma,ΤΕΜ
DAT-1001,Καλώδιο δικτύου CAT5e FTP 1m,DATA,Kyma,ΤΕΜ
DAT-1002,Καλώδιο δικτύου CAT6a S/FTP 20 μ.,DATA,Elektra,ΤΕΜ
DAT-1003,Καλώδιο δικτύου CAT7 FTP 1m,DATA,Voltera,ΤΕΜ
DAT-1004,Καλώδιο δικτύου CAT6 UTP 1m,DATA,Nordion,ΤΕΜ
DAT-1005,Καλώδιο δικτύου CAT6 UTP 30m,DATA,Kyma,ΤΕΜ
DAT-1006,Καλώδιο δικτύου CAT6 S/FTP 20m,DATA,Elektra,ΤΕΜ
DAT-1007,Καλώδιο δικτύου CAT6 UTP 3000cm,DATA,Voltera,ΤΕΜ
DAT-1008,Καλώδιο δικτύου CAT6 UTP 10 μ.,DATA,Elektra,ΤΕΜ
DAT-1009,Καλώδιο δικτύου CAT6 S/FTP 500cm,DATA,Voltera,ΤΕΜ
dat1010,Καλώδιο δικτύου CAT7 S/FTP 3m,DATA,Elektra,ΤΕΜ
dat1011,Καλώδιο δικτύου CAT6a S/FTP 3 μ.,DATA,Delta Line,ΤΕΜ
dat1012,Καλώδιο δικτύου CAT6 UTP 500cm,DATA,Kyma,ΤΕΜ
  DAT-1013,Καλώδιο δικτύου CAT6a S/FTP 30 μ.,DATA,Voltera,ΤΕΜ
DAT-1014,Καλώδιο δικτύου CAT5e FTP 1500cm,DATA,Voltera,ΤΕΜ
dat1015,Καλώδιο δικτύου CAT7 UTP 20 μ.,DATA,Elektra,ΤΕΜ
DAT-1016,Καλώδιο δικτύου CAT6a FTP 2000cm,DATA,Kyma,ΤΕΜ
DAT-1017,Καλώδιο δικτύου CAT7 UTP 20 μ.,DATA,Delta Line,ΤΕΜ
DAT-1018,Καλώδιο δικτύου CAT6 S/FTP 10m,DATA,Voltera,ΤΕΜ
DAT-1019,Καλώδιο δικτύου CAT5e FTP 1 μ.,DATA,Elektra,ΤΕΜ
DAT-1020,Καλώδιο δικτύου CAT6 UTP 5m,DATA,Voltera,ΤΕΜ
dat1021,Καλώδιο δικτύου CAT5e S/FTP 3000cm,DATA,Kyma,ΤΕΜ
  DAT-1022,Καλώδιο δικτύου CAT5e UTP 15 μ.,DATA,Kyma,ΤΕΜ
DAT-1023,Καλώδιο δικτύου CAT5e UTP 5m,DATA,Kyma,ΤΕΜ
DAT-1024,Καλώδιο δικτύου CAT6a FTP 15m,DATA,Elektra,ΤΕΜ
  DAT-1025,Καλώδιο δικτύου CAT5e FTP 10 μ.,DATA,Delta Line,ΤΕΜ
  DAT-1026,Καλώδιο δικτύου CAT7 UTP 100cm,DATA,Kyma,ΤΕΜ
DAT-1027,Καλώδιο δικτύου CAT5e FTP 30 μ.,DATA,Delta Line,ΤΕΜ
dat1028,Καλώδιο δικτύου CAT6a FTP 3m,DATA,Elektra,ΤΕΜ
DAT-1029,Καλώδιο δικτύου CAT6a UTP 1m,DATA,Nordion,ΤΕΜ
DAT-1030,Καλώδιο δικτύου CAT6 S/FTP 10m,DATA,Kyma,ΤΕΜ
DAT-1031,Καλώδιο δικτύου CAT7 FTP 2000cm,DATA,Elektra,ΤΕΜ
DAT-1032,Καλώδιο δικτύου CAT6a FTP 100cm,DATA,Voltera,ΤΕΜ
DAT-1033,Καλώδιο δικτύου CAT5e UTP 10 μ.,DATA,Kyma,ΤΕΜ
DAT-1034,Καλώδιο δικτύου CAT6 S/FTP 1 μ.,DATA,Kyma,ΤΕΜ
DAT-1035,Καλώδιο δικτύου CAT6a FTP 15 μ.,DATA,Kyma,ΤΕΜ
DAT-1036,Καλώδιο δικτύου CAT6 UTP 20m,DATA,Elektra,ΤΕΜ
  DAT-1037,Καλώδιο δικτύου CAT6a S/FTP 30m,DATA,Delta Line,ΤΕΜ
DAT-1038,Καλώδιο δικτύου CAT5e S/FTP 1m,DATA,Nordion,ΤΕΜ
DAT-1039,Καλώδιο δικτύου CAT6a FTP 2000cm,DATA,Delta Line,ΤΕΜ
DAT-1040,Καλώδιο δικτύου CAT7 FTP 10 μ.,DATA,Voltera,ΤΕΜ
DAT-1041,Καλώδιο δικτύου CAT6a FTP 10m,DATA,Elektra,ΤΕΜ
DAT-1042,Καλώδιο δικτύου CAT6a UTP 10 μ.,DATA,Elektra,ΤΕΜ
DAT-1043,Καλώδιο δικτύου CAT6 S/FTP 10m,DATA,Kyma,ΤΕΜ
DAT-1044,Καλώδιο δικτύου CAT6 S/FTP 10m,DATA,Voltera,ΤΕΜ
DAT-1045,Καλώδιο δικτύου CAT7 S/FTP 300cm,DATA,Nordion,ΤΕΜ
  PSU-1000,Τροφοδοτικό 450W 80+ Platinum ATX,PSU,Voltera,ΤΕΜ
psu1001,Τροφοδοτικό 450W 80+ Platinum ATX,PSU,Kyma,ΤΕΜ
PSU-1002,Τροφοδοτικό 750W 80+ Gold ATX,PSU,Kyma,ΤΕΜ
PSU-1003,Τροφοδοτικό 550W 80+ Platinum ATX,PSU,Voltera,ΤΕΜ
PSU-1004,Τροφοδοτικό 850W 80+ Bronze ATX,PSU,Voltera,ΤΕΜ
PSU-1005,Τροφοδοτικό 1kW 80+ Platinum ATX,PSU,Delta Line,ΤΕΜ
PSU-1006,Τροφοδοτικό 750W 80+ Gold ATX,PSU,Delta Line,ΤΕΜ
PSU-1007,Τροφοδοτικό 850W 80+ Bronze SFX,PSU,Delta Line,ΤΕΜ
psu1008,Τροφοδοτικό 550W 80+ Platinum SFX,PSU,Elektra,ΤΕΜ
psu1009,Τροφοδοτικό 850W 80+ Gold SFX,PSU,Elektra,ΤΕΜ
PSU-1010,Τροφοδοτικό 550W 80+ Platinum ATX,PSU,Elektra,ΤΕΜ
PSU-1011,Τροφοδοτικό 450W 80+ Gold SFX,PSU,Delta Line,ΤΕΜ
PSU-1012,Τροφοδοτικό 1000W 80+ Gold ATX,PSU,Voltera,ΤΕΜ
PSU-1013,Τροφοδοτικό 450W 80+ Platinum SFX,PSU,Voltera,ΤΕΜ
PSU-1014,Τροφοδοτικό 850W 80+ Platinum SFX,PSU,Nordion,ΤΕΜ
PSU-1015,Τροφοδοτικό 550W 80+ Gold SFX,PSU,Nordion,ΤΕΜ
PSU-1016,Τροφοδοτικό 750W 80+ Platinum SFX,PSU,Delta Line,ΤΕΜ
PSU-1017,Τροφοδοτικό 550W 80+ Gold SFX,PSU,Voltera,ΤΕΜ
PSU-1018,Τροφοδοτικό 1000W 80+ Gold ATX,PSU,Kyma,ΤΕΜ
PSU-1019,Τροφοδοτικό 650W 80+ Platinum SFX,PSU,Nordion,ΤΕΜ
PSU-1020,Τροφοδοτικό 750W 80+ Platinum SFX,PSU,Kyma,ΤΕΜ
PSU-1021,Τροφοδοτικό 1kW 80+ Bronze ATX,PSU,Delta Line,ΤΕΜ
PSU-1022,Τροφοδοτικό 1kW 80+ Bronze ATX,PSU,Nordion,ΤΕΜ
  PSU-1023,Τροφοδοτικό 750W 80+ Bronze SFX,PSU,Voltera,ΤΕΜ
PSU-1024,Τροφοδοτικό 550W 80+ Bronze SFX,PSU,Nordion,ΤΕΜ
PSU-1025,Τροφοδοτικό 650W 80+ Gold SFX,PSU,Elektra,ΤΕΜ
PSU-1026,Τροφοδοτικό 450W 80+ Gold SFX,PSU,Voltera,ΤΕΜ
PSU-1027,Τροφοδοτικό 750W 80+ Platinum SFX,PSU,Elektra,ΤΕΜ
PSU-1028,Τροφοδοτικό 450W 80+ Bronze ATX,PSU,Nordion,ΤΕΜ
PSU-1029,Τροφοδοτικό 1kW 80+ Platinum SFX,PSU,Nordion,ΤΕΜ
PSU-1030,Τροφοδοτικό 450W 80+ Gold ATX,PSU,Elektra,ΤΕΜ
psu1031,Τροφοδοτικό 550W 80+ Platinum ATX,PSU,Delta Line,ΤΕΜ
PSU-1032,Τροφοδοτικό 750W 80+ Gold ATX,PSU,Voltera,ΤΕΜ
PSU-1033,Τροφοδοτικό 850W 80+ Bronze SFX,PSU,Elektra,ΤΕΜ
UPS-1000,UPS line-interactive 1500VA / 900W αυτονομία 8 λεπτά,UPS,Voltera,ΤΕΜ
UPS-1001,UPS line-interactive 1500VA / 900W αυτονομία 8 λεπτά,UPS,Voltera,ΤΕΜ
UPS-1002,UPS line-interactive 1500VA / 900W αυτονομία 8 λεπτά,UPS,Kyma,ΤΕΜ
UPS-1003,UPS online 2200VA / 1320W αυτονομία 12 λεπτά,UPS,Delta Line,ΤΕΜ
UPS-1004,UPS line-interactive 3000VA / 1800W αυτονομία 12 λεπτά,UPS,Elektra,ΤΕΜ
UPS-1005,UPS online 1500VA / 900W αυτονομία 20 λεπτά,UPS,Elektra,ΤΕΜ
UPS-1006,UPS online 1500VA / 900W αυτονομία 35 λεπτά,UPS,Voltera,ΤΕΜ
UPS-1007,UPS line-interactive 3000VA / 1800W αυτονομία 35 λεπτά,UPS,Delta Line,ΤΕΜ
UPS-1008,UPS line-interactive 1500VA / 900W αυτονομία 35 λεπτά,UPS,Kyma,ΤΕΜ
UPS-1009,UPS line-interactive 3000VA / 1800W αυτονομία 12 λεπτά,UPS,Elektra,ΤΕΜ
UPS-1010,UPS line-interactive 1000VA / 600W αυτονομία 20 λεπτά,UPS,Delta Line,ΤΕΜ
UPS-1011,UPS line-interactive 650VA / 390W αυτονομία 12 λεπτά,UPS,Kyma,ΤΕΜ
ups1012,UPS online 2200VA / 1320W αυτονομία 35 λεπτά,UPS,Nordion,ΤΕΜ
UPS-1013,UPS line-interactive 1500VA / 900W αυτονομία 12 λεπτά,UPS,Kyma,ΤΕΜ
UPS-1014,UPS online 1000VA / 600W αυτονομία 35 λεπτά,UPS,Kyma,ΤΕΜ
UPS-1015,UPS line-interactive 1000VA / 600W αυτονομία 12 λεπτά,UPS,Kyma,ΤΕΜ
UPS-1016,UPS line-interactive 1000VA / 600W αυτονομία 12 λεπτά,UPS,Kyma,ΤΕΜ
UPS-1017,UPS line-interactive 650VA / 390W αυτονομία 12 λεπτά,UPS,Voltera,ΤΕΜ
ups1018,UPS online 650VA / 390W αυτονομία 12 λεπτά,UPS,Voltera,ΤΕΜ
UPS-1019,UPS line-interactive 650VA / 390W αυτονομία 35 λεπτά,UPS,Voltera,ΤΕΜ
UPS-1020,UPS line-interactive 3000VA / 1800W αυτονομία 35 λεπτά,UPS,Voltera,ΤΕΜ
UPS-1021,UPS line-interactive 650VA / 390W αυτονομία 12 λεπτά,UPS,Nordion,ΤΕΜ
UPS-1022,UPS line-interactive 2200VA / 1320W αυτονομία 8 λεπτά,UPS,Elektra,ΤΕΜ
ups1023,UPS line-interactive 1500VA / 900W αυτονομία 8 λεπτά,UPS,Nordion,ΤΕΜ
UPS-1024,UPS line-interactive 1500VA / 900W αυτονομία 8 λεπτά,UPS,Delta Line,ΤΕΜ
UPS-1025,UPS online 2200VA / 1320W αυτονομία 8 λεπτά,UPS,Nordion,ΤΕΜ
UPS-1026,UPS online 2200VA / 1320W αυτονομία 20 λεπτά,UPS,Elektra,ΤΕΜ
UPS-1027,UPS online 3000VA / 1800W αυτονομία 20 λεπτά,UPS,Voltera,ΤΕΜ
SWT-1000,Switch 8 θυρών 100Mbps managed,NETWORK,Kyma,ΤΕΜ
SWT-1001,Switch 24 θυρών 2500Mbps unmanaged,NETWORK,Elektra,ΤΕΜ
SWT-1002,Switch 24 θυρών 2500Mbps managed,NETWORK,Nordion,ΤΕΜ
SWT-1003,Switch 24 θυρών 1000Mbps unmanaged,NETWORK,Delta Line,ΤΕΜ
SWT-1004,Switch 48 θυρών 2500Mbps PoE unmanaged,NETWORK,Nordion,ΤΕΜ
SWT-1005,Switch 24 θυρών 2500Mbps managed,NETWORK,Delta Line,ΤΕΜ
swt1006,Switch 16 θυρών 2500Mbps managed,NETWORK,Kyma,ΤΕΜ
SWT-1007,Switch 8 θυρών 2500Mbps PoE unmanaged,NETWORK,Kyma,ΤΕΜ
SWT-1008,Switch 16 θυρών 2500Mbps managed,NETWORK,Voltera,ΤΕΜ
SWT-1009,Switch 16 θυρών 1000Mbps managed,NETWORK,Nordion,ΤΕΜ
SWT-1010,Switch 48 θυρών 2500Mbps unmanaged,NETWORK,Elektra,ΤΕΜ
SWT-1011,Switch 8 θυρών 2500Mbps PoE managed,NETWORK,Delta Line,ΤΕΜ
SWT-1012,Switch 16 θυρών 2500Mbps PoE managed,NETWORK,Elektra,ΤΕΜ
SWT-1013,Switch 24 θυρών 1000Mbps PoE unmanaged,NETWORK,Nordion,ΤΕΜ
SWT-1014,Switch 24 θυρών 100Mbps managed,NETWORK,Nordion,ΤΕΜ
SWT-1015,Switch 24 θυρών 2500Mbps managed,NETWORK,Elektra,ΤΕΜ
SWT-1016,Switch 48 θυρών 2500Mbps managed,NETWORK,Kyma,ΤΕΜ
swt1017,Switch 8 θυρών 2500Mbps managed,NETWORK,Delta Line,ΤΕΜ
SWT-1018,Switch 24 θυρών 1000Mbps unmanaged,NETWORK,Delta Line,ΤΕΜ
SWT-1019,Switch 16 θυρών 2500Mbps unmanaged,NETWORK,Nordion,ΤΕΜ
SWT-1020,Switch 48 θυρών 100Mbps PoE managed,NETWORK,Elektra,ΤΕΜ
SWT-1021,Switch 8 θυρών 100Mbps PoE unmanaged,NETWORK,Kyma,ΤΕΜ
SWT-1022,Switch 24 θυρών 1000Mbps PoE managed,NETWORK,Voltera,ΤΕΜ
SWT-1023,Switch 8 θυρών 100Mbps PoE managed,NETWORK,Voltera,ΤΕΜ
swt1024,Switch 24 θυρών 100Mbps managed,NETWORK,Voltera,ΤΕΜ
SWT-1025,Switch 24 θυρών 1000Mbps PoE unmanaged,NETWORK,Kyma,ΤΕΜ
SWT-1026,Switch 8 θυρών 2500Mbps PoE managed,NETWORK,Voltera,ΤΕΜ
SWT-1027,Switch 8 θυρών 100Mbps unmanaged,NETWORK,Voltera,ΤΕΜ
SWT-1028,Switch 16 θυρών 2500Mbps PoE managed,NETWORK,Delta Line,ΤΕΜ
swt1029,Switch 8 θυρών 1000Mbps PoE unmanaged,NETWORK,Voltera,ΤΕΜ
CON-1000,Ρευματολήπτης IEC C13 32A IP44,CONNECTORS,Elektra,ΤΕΜ
CON-1001,Ρευματολήπτης IEC C19 63A IP67,CONNECTORS,Voltera,ΤΕΜ
con1002,Ρευματολήπτης Schuko 63A IP67,CONNECTORS,Elektra,ΤΕΜ
CON-1003,Ρευματολήπτης IEC C13 16A IP67,CONNECTORS,Nordion,ΤΕΜ
CON-1004,Ρευματολήπτης IEC C19 63A IP67,CONNECTORS,Kyma,ΤΕΜ
CON-1005,Ρευματολήπτης Schuko 16A IP67,CONNECTORS,Delta Line,ΤΕΜ
CON-1006,Ρευματολήπτης CEE 32A IP44,CONNECTORS,Elektra,ΤΕΜ
CON-1007,Ρευματολήπτης Schuko 32A IP44,CONNECTORS,Elektra,ΤΕΜ
CON-1008,Ρευματολήπτης IEC C19 16A IP67,CONNECTORS,Nordion,ΤΕΜ
CON-1009,Ρευματολήπτης IEC C13 32A IP44,CONNECTORS,Elektra,ΤΕΜ
CON-1010,Ρευματολήπτης IEC C13 32A IP67,CONNECTORS,Voltera,ΤΕΜ
CON-1011,Ρευματολήπτης IEC C13 16A IP67,CONNECTORS,Elektra,ΤΕΜ
CON-1012,Ρευματολήπτης IEC C19 32A IP67,CONNECTORS,Kyma,ΤΕΜ
CON-1013,Ρευματολήπτης IEC C13 63A IP44,CONNECTORS,Voltera,ΤΕΜ
  CON-1014,Ρευματολήπτης Schuko 32A IP67,CONNECTORS,Nordion,ΤΕΜ
CON-1015,Ρευματολήπτης IEC C19 32A IP44,CONNECTORS,Kyma,ΤΕΜ
CON-1016,Ρευματολήπτης IEC C19 32A IP67,CONNECTORS,Voltera,ΤΕΜ
CON-1017,Ρευματολήπτης IEC C19 63A IP67,CONNECTORS,Voltera,ΤΕΜ
  CON-1018,Ρευματολήπτης Schuko 32A IP44,CONNECTORS,Elektra,ΤΕΜ
CON-1019,Ρευματολήπτης CEE 16A IP44,CONNECTORS,Voltera,ΤΕΜ
CON-1020,Ρευματολήπτης IEC C19 32A IP44,CONNECTORS,Nordion,ΤΕΜ
CON-1021,Ρευματολήπτης IEC C19 16A IP67,CONNECTORS,Elektra,ΤΕΜ
CON-1022,Ρευματολήπτης CEE 16A IP44,CONNECTORS,Delta Line,ΤΕΜ
CON-1023,Ρευματολήπτης Schuko 16A IP44,CONNECTORS,Elektra,ΤΕΜ
CON-1024,Ρευματολήπτης IEC C19 32A IP67,CONNECTORS,Delta Line,ΤΕΜ
CON-1025,Ρευματολήπτης IEC C13 32A IP44,CONNECTORS,Nordion,ΤΕΜ
CON-1026,Ρευματολήπτης IEC C19 63A IP67,CONNECTORS,Nordion,ΤΕΜ
CON-1027,Ρευματολήπτης Schuko 32A IP44,CONNECTORS,Delta Line,ΤΕΜ
CON-1028,Ρευματολήπτης IEC C19 32A IP67,CONNECTORS,Kyma,ΤΕΜ
CON-1029,Ρευματολήπτης IEC C13 63A IP44,CONNECTORS,Nordion,ΤΕΜ
PWR-1007,Καλώδιο ρεύματος 5x6.0mm 25 μ. 1500W IP67 εξωτερικού χώρου ,POWER,Delta Line,τεμ
PSU-1027,Τροφοδοτικό 750W 80+ Platinum SFX ,PSU,Elektra,τεμ
,Καλώδιο ρεύματος 3x2.5mm 20m,POWER,Kyma,ΤΕΜ
