product_code,list_price,currency,updated_at
DAT-1015,81.61,EUR,2026-07-14
DAT-1016,"69,64 EUR",EUR,2026-07-14
DAT-1017,"€ 82,71",EUR,2026-08-03
DAT-1018,77.16,EUR,2026-07-14
DAT-1019,"68,96 EUR",EUR,2026-08-21
DAT-1020,"€ 67,29",EUR,2026-07-14
DAT-1021,63.57,EUR,2026-07-14
DAT-1022,"42,19 EUR",EUR,2026-07-14
DAT-1023,"€ 57,89",EUR,2026-08-21
DAT-1024,44.92,EUR,2026-08-21
DAT-1025,"44,64 EUR",EUR,2026-08-03
DAT-1026,"€ 15,94",EUR,2026-08-03
DAT-1027 ,49.48,EUR,2026-08-21
DAT-1028,"79,73 EUR",EUR,2026-08-21
DAT-1029,"€ 36,49",EUR,2026-08-03
DAT-1030 ,40.19,EUR,2026-07-14
DAT-1031,"82,60 EUR",EUR,2026-08-03
DAT-1032,"€ 60,37",EUR,2026-08-21
DAT-1033,93.27,EUR,2026-09-01
DAT-1034,"94,84 EUR",EUR,2026-08-21
DAT-1035,"€ 91,74",EUR,2026-09-01
DAT-1036,8.50,EUR,2026-08-03
DAT-1037,"58,33 EUR",EUR,2026-07-14
DAT-1038 ,"€ 45,90",EUR,2026-08-03
DAT-1039,80.14,EUR,2026-07-14
DAT-1040,"24,50 EUR",EUR,2026-09-01
DAT-1041,"€ 46,73",EUR,2026-07-14
DAT-1042,29.36,EUR,2026-08-03
DAT-1043,"16,17 EUR",EUR,2026-07-14
DAT-1044,"€ 23,37",EUR,2026-09-01
DAT-1045,94.31,EUR,2026-09-01
PSU-1000,"124,85 EUR",EUR,2026-08-21
PSU-1001,"€ 140,19",EUR,2026-07-14
PSU-1002,70.22,EUR,2026-07-14
PSU-1003,"70,87 EUR",EUR,2026-08-03
PSU-1004,"€ 228,29",EUR,2026-07-14
PSU-1005 ,62.14,EUR,2026-07-14
PSU-1006,"231,10 EUR",EUR,2026-07-14
PSU-1007,"€ 147,66",EUR,2026-09-01
PSU-1008,190.47,EUR,2026-08-21
PSU-1009,"139,98 EUR",EUR,2026-08-03
PSU-1010,"€ 227,75",EUR,2026-08-03
PSU-1011,61.04,EUR,2026-08-03
PSU-1012,"125,16 EUR",EUR,2026-08-21
PSU-1013,"€ 196,55",EUR,2026-08-03
PSU-1014,239.08,EUR,2026-08-21
PSU-1015,"110,29 EUR",EUR,2026-08-21
PSU-1016,"€ 104,01",EUR,2026-08-21
PSU-1017,158.07,EUR,2026-09-01
PSU-1018 ,"56,57 EUR",EUR,2026-07-14
PSU-1019,"€ 126,18",EUR,2026-08-03
PSU-1020,45.78,EUR,2026-08-03
PSU-1021,"138,62 EUR",EUR,2026-07-14
PSU-1022,"€ 193,64",EUR,2026-08-03
PSU-1023,225.49,EUR,2026-08-03
PSU-1024,"102,48 EUR",EUR,2026-08-21
PSU-1025,"€ 193,64",EUR,2026-07-14
PSU-1026 ,71.32,EUR,2026-08-03
PSU-1027,"126,70 EUR",EUR,2026-08-21
PSU-1028,"€ 197,29",EUR,2026-08-03
PSU-1029,235.17,EUR,2026-08-21
PSU-1030,"107,66 EUR",EUR,2026-08-03
PSU-1031,"€ 208,96",EUR,2026-08-21
PSU-1032,141.12,EUR,2026-09-01
PSU-1033 ,"155,51 EUR",EUR,2026-08-03
UPS-1000,"€ 123,39",EUR,2026-08-03
UPS-1001,1038.58,EUR,2026-07-14
UPS-1002 ,"567,61 EUR",EUR,2026-08-21
UPS-1003,"€ 1017,49",EUR,2026-09-01
UPS-1004,953.67,EUR,2026-08-03
UPS-1005,"820,82 EUR",EUR,2026-08-21
UPS-1006,"€ 306,05",EUR,2026-09-01
UPS-1007,1223.39,EUR,2026-09-01
UPS-1008,"799,50 EUR",EUR,2026-08-03
UPS-1009,"€ 587,49",EUR,2026-08-03
UPS-1010,928.75,EUR,2026-08-21
UPS-1011,"770,54 EUR",EUR,2026-08-21
UPS-1012,"€ 1340,16",EUR,2026-09-01
UPS-1013 ,712.18,EUR,2026-08-21
UPS-1014 ,"1253,05 EUR",EUR,2026-08-03
UPS-1015,"€ 827,97",EUR,2026-08-21
UPS-1016,705.19,EUR,2026-09-01
UPS-1017,"448,93 EUR",EUR,2026-08-03
UPS-1018,"€ 773,69",EUR,2026-07-14
UPS-1019,448.42,EUR,2026-07-14
UPS-1020,"515,00 EUR",EUR,2026-08-21
UPS-1021,"€ 103,51",EUR,2026-08-03
UPS-1022,1224.93,EUR,2026-07-14
UPS-1023,"817,15 EUR",EUR,2026-09-01
UPS-1024,"€ 611,46",EUR,2026-08-21
UPS-1025,947.23,EUR,2026-07-14
UPS-1026,"481,11 EUR",EUR,2026-08-03
UPS-1027,"€ 650,90",EUR,2026-08-03
SWT-1000 ,668.18,EUR,2026-08-21
SWT-1001,"102,83 EUR",EUR,2026-08-03
SWT-1002,"€ 675,32",EUR,2026-09-01
SWT-1003,868.77,EUR,2026-09-01
SWT-1004,"489,72 EUR",EUR,2026-08-03
SWT-1005,"€ 571,32",EUR,2026-09-01
SWT-1006 ,47.25,EUR,2026-07-14
SWT-1007,"464,16 EUR",EUR,2026-07-14
SWT-1008,"€ 413,74",EUR,2026-08-03
SWT-1009,821.11,EUR,2026-07-14
SWT-1010,"470,69 EUR",EUR,2026-08-21
SWT-1011,"€ 501,41",EUR,2026-09-01
SWT-1012,643.76,EUR,2026-07-14
SWT-1013,"571,42 EUR",EUR,2026-08-21
SWT-1014,"€ 92,05",EUR,2026-08-21
SWT-1015,531.66,EUR,2026-09-01
SWT-1016,"862,81 EUR",EUR,2026-08-03
SWT-1017 ,"€ 421,49",EUR,2026-08-03
SWT-1018,549.89,EUR,2026-09-01
SWT-1019,"804,88 EUR",EUR,2026-08-21
SWT-1020,"€ 373,65",EUR,2026-07-14
SWT-1021,356.20,EUR,2026-07-14
SWT-1022,"851,65 EUR",EUR,2026-08-03
SWT-1023,"€ 725,80",EUR,2026-07-14
SWT-1024,455.06,EUR,2026-09-01
SWT-1025,"52,30 EUR",EUR,2026-08-21
SWT-1026,"€ 257,09",EUR,2026-08-03
SWT-1027 ,192.05,EUR,2026-07-14
SWT-1028,"290,10 EUR",EUR,2026-07-14
SWT-1029,"€ 317,21",EUR,2026-09-01
CON-1000,53.88,EUR,2026-09-01
CON-1001,"11,59 EUR",EUR,2026-08-21
CON-1002,"€ 4,87",EUR,2026-07-14
CON-1003,64.16,EUR,2026-08-03
CON-1004,"61,60 EUR",EUR,2026-08-21
CON-1005,"€ 7,47",EUR,2026-08-21
CON-1006,46.61,EUR,2026-09-01
CON-1007,"40,98 EUR",EUR,2026-08-21
CON-1008,"€ 19,75",EUR,2026-09-01
CON-1009 ,9.59,EUR,2026-07-14
CON-1010,"12,31 EUR",EUR,2026-07-14
CON-1011,"€ 67,11",EUR,2026-08-21
CON-1012,22.33,EUR,2026-07-14
CON-1013,"25,41 EUR",EUR,2026-08-21
CON-1014,"€ 52,47",EUR,2026-07-14
CON-1015,2.93,EUR,2026-08-21
CON-1016 ,"54,28 EUR",EUR,2026-09-01
CON-1017,"€ 18,24",EUR,2026-08-21
CON-1018,18.65,EUR,2026-08-03
CON-1019,"17,33 EUR",EUR,2026-08-21
CON-1020 ,"€ 4,61",EUR,2026-08-21
CON-1021 ,9.35,EUR,2026-09-01
CON-1022,"6,39 EUR",EUR,2026-07-14
CON-1023,"€ 13,55",EUR,2026-07-14
CON-1024,61.59,EUR,2026-09-01
CON-1025,"34,28 EUR",EUR,2026-09-01
CON-1026,"€ 27,17",EUR,2026-09-01
CON-1027,13.48,EUR,2026-08-21
CON-1028,"65,30 EUR",EUR,2026-07-14
CON-1029 ,"€ 18,52",EUR,2026-07-14
PWR-1045,N/A,EUR,2026-08-03
DAT-1019,"-12,50",EUR,2026-08-21
