sku;qty_available;warehouse
DAT-1038;150;THE-01
DAT-1039;0;PAT-01
DAT 1040;0;THE-01
DAT-1041;80;ATH-02
DAT 1042;0;ATH-01
DAT-1043;0;THE-01
DAT 1044;150;PAT-01
DAT-1045;40;PAT-01
PSU-1001;80;ATH-02
PSU-1002;0;THE-01
PSU 1003;0;THE-01
PSU 1004;25;ATH-02
PSU-1005;25;ATH-01
PSU-1006;4;ATH-02
PSU-1007;40;ATH-02
PSU-1008;4;ATH-02
PSU 1009;12;THE-01
PSU-1010;0;ATH-02
PSU 1011;80;THE-01
PSU-1012;0;PAT-01
PSU 1013;40;ATH-01
PSU-1014;4;THE-01
PSU-1015;12;PAT-01
PSU 1016;12;THE-01
PSU-1017;150;THE-01
PSU 1018;25;PAT-01
PSU-1019;150;THE-01
PSU 1020;0;ATH-02
PSU-1021;80;PAT-01
PSU 1022;25;ATH-02
PSU-1023;150;THE-01
PSU-1024;80;THE-01
PSU-1025;12;ATH-02
PSU-1026;0;PAT-01
PSU-1027;40;PAT-01
PSU 1028;12;ATH-01
PSU-1029;12;ATH-01
PSU 1030;25;PAT-01
PSU 1031;0;PAT-01
PSU-1032;12;PAT-01
PSU-1033;0;ATH-02
UPS-1000;25;THE-01
UPS-1001;40;PAT-01
UPS-1002;80;ATH-01
UPS-1003;25;PAT-01
UPS-1004;0;ATH-02
UPS-1005;150;PAT-01
UPS-1006;80;ATH-01
UPS-1007;40;THE-01
UPS-1008;0;PAT-01
UPS-1009;80;ATH-01
UPS-1010;0;THE-01
UPS-1011;40;ATH-01
UPS 1012;0;THE-01
UPS-1013;12;THE-01
UPS 1014;4;ATH-02
UPS-1015;12;THE-01
UPS 1016;25;ATH-01
UPS 1017;4;PAT-01
UPS-1018;0;ATH-02
UPS 1019;12;ATH-02
UPS-1021;80;ATH-02
UPS 1022;25;THE-01
UPS-1023;40;ATH-02
UPS-1024;12;PAT-01
UPS-1025;4;ATH-01
UPS-1026;40;THE-01
UPS-1027;40;ATH-02
SWT-1000;12;ATH-02
SWT-1001;150;PAT-01
SWT 1002;12;ATH-01
SWT-1003;150;PAT-01
SWT-1004;12;ATH-02
SWT-1005;40;ATH-01
SWT-1006;40;ATH-01
SWT-1007;0;ATH-01
SWT 1008;0;PAT-01
SWT-1009;150;THE-01
SWT-1010;40;PAT-01
SWT 1011;12;ATH-02
SWT-1012;12;PAT-01
SWT 1013;150;PAT-01
SWT-1014;0;PAT-01
SWT-1015;0;ATH-01
SWT-1016;12;ATH-02
SWT-1017;0;PAT-01
SWT-1018;0;ATH-01
SWT 1019;0;THE-01
SWT-1020;4;ATH-02
SWT-1021;80;ATH-02
SWT-1022;80;ATH-02
SWT 1023;12;ATH-02
SWT 1024;0;ATH-02
SWT 1025;0;PAT-01
SWT 1026;80;PAT-01
SWT-1027;150;PAT-01
SWT 1028;25;THE-01
SWT-1029;40;ATH-02
CON-1000;40;ATH-01
CON-1001;4;PAT-01
CON-1002;0;ATH-01
CON 1004;4;ATH-01
CON 1005;25;THE-01
CON-1006;25;PAT-01
CON 1007;150;ATH-02
CON-1008;40;PAT-01
CON 1009;25;THE-01
CON-1010;40;PAT-01
CON-1011;150;PAT-01
CON 1012;4;ATH-02
CON-1013;150;PAT-01
CON-1014;150;ATH-02
CON-1015;80;ATH-02
CON 1016;12;PAT-01
CON-1017;0;ATH-01
CON-1018;80;ATH-01
CON-1019;0;PAT-01
CON-1020;80;PAT-01
CON-1021;80;ATH-02
CON-1022;12;THE-01
CON 1023;150;ATH-02
CON-1024;0;PAT-01
CON-1025;150;ATH-01
CON 1026;80;PAT-01
CON 1027;150;THE-01
CON 1028;4;ATH-02
CON 1029;25;THE-01
PWR-1012;-;ATH-01
